Bin	Name	Source Path	Color	GFX-Video Level	Field Ordering	LensModelName	InitializedDate	ProavIdRef	serialNo	modelName	manufacturer	CreationDate	Video Bitrate	Shutter Speed Time	Shutter Speed Angle	Iris F	White Balance	White Balance Mode	Foc. Pos. fr. Image Plane	EI	Exposure Mode	Capture FPS	Capture Gamma Equation	lens_name	Lens Mount	Audio Format	User TC Pref	User Action Guide Width	User Action Guide Topleft Y	User Action Guide Topleft X	User Action Guide Height	User Action Guide Enabled	Shutter fraction	Shutter degree	Sensor OLPF Name	Sensor OLPF Interchangeable	Sensor Name	Sensor ID	Resolution Format Name	Reel ID Full	Reel ID 8 Character	REDCODE	record_framerate_numerator	record_framerate_denominator	Record Framerate	Original Filename	monitor_sharpness	Media Serial Number	TimeStamp	Lens Aperture Units	Jamsync setting	iso_calibration_version	FrameWidth	FrameHeight	HDR Mode	GMT Time	GMT Date	Genlock setting	Frame Guide Width	Frame Guide Topleft Y	Frame Guide Topleft X	Frame Guide Height	Frame Guide Enabled	flip_vertical	flip_horizontal	Exposure time	exposure_adjust	Dropped Frame Count	clip_uuid	Clip	clip_default_color_version	camera_rotation_z	camera_rotation_y	camera_rotation_x	camera_position	Camera PIN	Camera Network Name	Camera Model ID	Camera Model	Camera firmware version	Camera Firmware Revision	camera_acceleration_z	camera_acceleration_y	camera_acceleration_x	Anamorphic Mode	Resolution	Filename	Original_End	Original_Start	Blue White Y	Blue White X	Blue Knee Y	Blue Knee X	Blue Mid Y	Blue Mid X	Blue Toe Y	Blue Toe X	Blue Black Y	Blue Black X	Green White Y	Green White X	Green Knee Y	Green Knee X	Green Mid Y	Green Mid X	Green Toe Y	Green Toe X	Green Black Y	Green Black X	Red White Y	Red White X	Red Knee Y	Red Knee X	Red Mid Y	Red Mid X	Red Toe Y	Red Toe X	Red Black Y	Red Black X	LGG Blue Gain	LGG Blue Gamma	LGG Blue Lift	LGG Green Gain	LGG Green Gamma	LGG Green Lift	LGG Red Gain	LGG Red Gamma	LGG Red Lift	Shadow	FLUT	Chroma Denoise	OLPF	Debayer detail	GammaSpace	ColorSpace	DRX	Tint	Kelvin	White Y	White X	Knee Y	Knee X	Mid Y	Mid X	Toe Y	Toe X	Black Y	Black X	Saturation	Exposure	GainRed	GainGreen	GainBlue	Contrast	Brightness	ISO	Source Setting	Clip ID	Comments	Image Size	Raster Dimension	Image Framing	Vendor Download Master	Vendor Invoice ID	Vendor Asset Status	Vendor Asset Keywords	Vendor Asset Description	Vendor Original Master	Vendor Asset Price	Vendor Asset Rights	Vendor Asset Name	Vendor Asset ID	Vendor URL	Vendor Name	Marker	S3D Alignment	S3D Eye Order	S3D InversionR	S3D Inversion	S3D Clip Name	S3D Group Name	S3D Channel	S3D Leading Eye	S3D Contributors	Color Transformation	Ancillary Data	Media File Path	Reformat	Pixel Aspect Ratio	Image Aspect Ratio	Chroma Subsampling	Color Space	Track Formats	Field Motion	AFD	Auxiliary TC5	ASC_SAT	ASC_SOP	IDataLink	Production	Journalist	Disk Label	TC 30NP	UNC Path	Transfer	Master Start	Master Film	Master End	Master Edge	Master Dur	LUT	KN Film	Ink Film	Ink Edge	Ink End	Frame Count Duration	Frame Count End	Frame Count Start	Ink Dur	VFX Reel	VFX	DPX	AuxInk Film	AuxInk End	AuxInk Edge	AuxInk Dur	Format	Video File Format	Aux TC 24	Cadence	TC 25PD	Audio Bit Depth	Audio File Format	TC 30	TC 24	TC 25	Modified Date	Audio SR	TapeID	Lock	Slip	Camera	Reel	Labroll	Shoot Date	Camroll	Auxiliary TC1	Soundroll	Reel #	Take	VITC	Scene	Plug-in	Video	Tape	Start	Sound TC	Tracks	Offline	Pullout	Project	Pullin	Auxiliary TC4	Mark OUT	KN Start	KN IN-OUT	KN Mark OUT	KN Dur	Mark IN	KN Mark IN	Perf	KN End	Film TC	IN-OUT	FPS	Auxiliary Ink	End	Ink Number	Drive	Duration	Creation Date	Auxiliary TC2	Frame	CFPS	Media Status	Auxiliary TC3	Source File	
OWEN FOR RESOLVE	A001_C024_0425H3.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_25\WW2D_250425_RED_A_001\A001_04254D.RDM\A001_C024_0425H3.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A001_C024_0425H3	A001C024	REDcode 8:1	50	1	50	A001_C024_0425H3_001.R3D	0	20161221AAUS10681095	142033	0	0	2	4320	3240	0	142033	20250425	0	1	0	0	1	1	0	0	10000	0	0	C82B5D72-2372-11F0-9256-2CB69D044ABA	024	3	4.497	-4.506	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.987	0.172	0.015	1	Auto	A001_C024_0425H3	14:22:10:11	14:20:34:04	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250425_RED_A_001														2408	2407	0									1080p/25			None							27/04/2025 15:35:47		WW2D_250425_RED_A_001	   		A	001		20250425						01:31:46:03			DNxHD LB (HD1080p)		14:20:34:04		V1	V1		+BLINK_WWII DECODED_TECH							 150+08							25.00		14:22:10:12		BLINK_WW2 DECODED_MEDIA (W:)	00:01:36:08	27/04/2025 02:53:15			25.00			A001_C024_0425H3_001.R3D	
OWEN FOR RESOLVE	A001_C023_0425LW.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_25\WW2D_250425_RED_A_001\A001_04254D.RDM\A001_C023_0425LW.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A001_C023_0425LW	A001C023	REDcode 8:1	50	1	50	A001_C023_0425LW_001.R3D	0	20161221AAUS10681095	141833	0	0	2	4320	3240	0	141833	20250425	0	1	0	0	1	1	0	0	10000	0	0	806E4684-2372-11F0-9256-2CB69D044ABA	023	3	8.995	-0.008	-0.008	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.972	0.109	0.031	1	Auto	A001_C023_0425LW	14:19:45:08	14:18:33:20	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250425_RED_A_001														1789	1788	0									1080p/25			None							27/04/2025 15:35:47		WW2D_250425_RED_A_001	   		A	001		20250425						01:30:34:14			DNxHD LB (HD1080p)		14:18:33:20		V1	V1		+BLINK_WWII DECODED_TECH							 111+13							25.00		14:19:45:09		BLINK_WW2 DECODED_MEDIA (W:)	00:01:11:14	26/04/2025 23:53:52			25.00			A001_C023_0425LW_001.R3D	
OWEN FOR RESOLVE	A001_C021_0425Z7.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_25\WW2D_250425_RED_A_001\A001_04254D.RDM\A001_C021_0425Z7.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A001_C021_0425Z7	A001C021	REDcode 8:1	50	1	50	A001_C021_0425Z7_001.R3D	0	20161221AAUS10681095	141330	0	0	2	4320	3240	0	141330	20250425	0	1	0	0	1	1	0	0	10000	0	0	CBD371A4-2371-11F0-9256-2CB69D044ABA	021	3	8.995	0	-0.008	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.972	0.109	0	1	Auto	A001_C021_0425Z7	14:15:00:12	14:13:30:20	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250425_RED_A_001														2243	2242	0									1080p/25			None							27/04/2025 15:35:47		WW2D_250425_RED_A_001	   		A	001		20250425						01:26:52:12			DNxHD LB (HD1080p)		14:13:30:20		V1	V1		+BLINK_WWII DECODED_TECH							 140+03							25.00		14:15:00:13		BLINK_WW2 DECODED_MEDIA (W:)	00:01:29:18	27/04/2025 03:00:22			25.00			A001_C021_0425Z7_001.R3D	
OWEN FOR RESOLVE	WW2D_20250412_FX9_A_36_0001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX9_A_36_001\XDROOT\Clip\	   																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	S-Log3 / S-Gamut3.Cine		Progressive								WW2D_20250412_FX9_A_36_001														82602	82601	0									1080p/25			None		24	PCM				16/04/2025 15:19:53	48000	WW2D_20250412_FX9_A_36_001	   														DNxHD LB (HD1080p)		15:43:57:22		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							5162+10	16:10:20:20						25.00		16:39:01:24		BLINK_WW2 DECODED_MEDIA (W:)	00:55:04:02	16/04/2025 13:39:19			25.00			WW2D_20250412_FX9_A_36_0001.MXF	
OWEN FOR RESOLVE	BOD_0749.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX6_A_003\XDROOT\Clip\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250412_FX6_A_003														11618	11617	0									1080p/25			None		24	PCM				14/04/2025 08:40:32	48000	WW2D_20250412_FX6_A_003	   														DNxHD LB (HD1080p)		14:33:43:09		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							 726+02							25.00		14:41:28:02		BLINK_WW2 DECODED_MEDIA (W:)	00:07:44:18	13/04/2025 12:14:38			25.00			BOD_0749.MXF	
OWEN FOR RESOLVE	BOD_0751.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX6_A_003\XDROOT\Clip\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250412_FX6_A_003														39164	39163	0									1080p/25			None		24	PCM				14/04/2025 08:40:32	48000	WW2D_20250412_FX6_A_003	   														DNxHD LB (HD1080p)		14:46:43:03		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							2447+12							25.00		15:12:49:17		BLINK_WW2 DECODED_MEDIA (W:)	00:26:06:14	13/04/2025 12:37:22			25.00			BOD_0751.MXF	
OWEN FOR RESOLVE	BOD_0744.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX6_A_001\XDROOT\Clip\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Duotone (3D); SLog3 2020 to 709 knee_85			Stretch	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250412_FX6_A_001														27101	27100	0									1080p/25			None		24	PCM				13/04/2025 13:59:28	48000	WW2D_20250412_FX6_A_001	   														DNxHD LB (HD1080p)		10:53:52:06		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							1693+13							25.00		11:11:56:07		BLINK_WW2 DECODED_MEDIA (W:)	00:18:04:01	13/04/2025 13:24:34			25.00			BOD_0744.MXF	
OWEN FOR RESOLVE	BOD_0743.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX6_A_001\XDROOT\Clip\	Other																																																																																																																																																													4096 x 2160	1920x1080p	Framed as 1.90:1 100.00%													   	NONE						MONO			Duotone (3D); SLog3 2020 to 709 knee_85			Stretch	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250412_FX6_A_001														35729	35728	0									1080p/25			None		24	PCM				13/04/2025 13:24:33	48000	WW2D_20250412_FX6_A_001	   														DNxHD LB (HD1080p)		10:27:17:24		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							2233+01	10:35:18:23						25.00		10:51:07:03		BLINK_WW2 DECODED_MEDIA (W:)	00:23:49:04	13/04/2025 12:40:38			25.00			BOD_0743.MXF	
OWEN FOR RESOLVE	BOD_0745.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX6_A_001\XDROOT\Clip\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Duotone (3D); SLog3 2020 to 709 knee_85			Stretch	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250412_FX6_A_001														22960	22959	0									1080p/25			None		24	PCM				13/04/2025 14:25:30	48000	WW2D_20250412_FX6_A_001	   														DNxHD LB (HD1080p)		11:13:12:03		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							1435+00	11:13:23:09						25.00		11:28:30:13		BLINK_WW2 DECODED_MEDIA (W:)	00:15:18:10	13/04/2025 13:59:29			25.00			BOD_0745.MXF	
OWEN FOR RESOLVE	WW2D_20250412_FX3_B_036_0001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX3_B_36_001\M4ROOT\CLIP\	   																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 (3D)			Stretch	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250412_FX3_B_36_001														126600	126599	0									1080p/25			None		16	PCM				17/04/2025 16:02:26	48000	WW2D_20250412_FX3_B_36_001	   														DNxHD LB (HD1080p)		15:44:01:14		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							7912+08							25.00		17:08:25:14		BLINK_WW2 DECODED_MEDIA (W:)	01:24:24:00	17/04/2025 14:40:30			25.00			WW2D_20250412_FX3_B_036_0001.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0002.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX3_B_003\M4ROOT\CLIP\	   																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 (3D)			Stretch	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250412_FX3_B_003														63456	63455	0									1080p/25			None		24	PCM				14/04/2025 08:46:41	48000	WW2D_20250412_FX3_B_003	   														DNxHD LB (HD1080p)		16:57:10:23		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							3966+00							25.00		17:39:29:04		BLINK_WW2 DECODED_MEDIA (W:)	00:42:18:06	13/04/2025 11:40:35			25.00			240806LAZFX3C0002.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0005.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX3_B_002\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D)			Stretch	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250412_FX3_B_002														39108	39107	0									1080p/25			None		24	PCM				14/04/2025 08:46:38	48000	WW2D_20250412_FX3_B_002	   														DNxHD LB (HD1080p)		14:46:47:17		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							2444+04							25.00		15:12:52:00		BLINK_WW2 DECODED_MEDIA (W:)	00:26:04:08	13/04/2025 13:02:32			25.00			240806LAZFX3C0005.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0003.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX3_B_002\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D)			Stretch	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250412_FX3_B_002														11592	11591	0									1080p/25			None		24	PCM				14/04/2025 08:46:38	48000	WW2D_20250412_FX3_B_002	   														DNxHD LB (HD1080p)		14:33:49:10		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							 724+08							25.00		14:41:33:02		BLINK_WW2 DECODED_MEDIA (W:)	00:07:43:17	13/04/2025 11:48:42			25.00			240806LAZFX3C0003.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0001.new.02	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_12\WW2D_20250412_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Levels scaling (full range to video levels); Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_002														53556	53555	0									1080p/25			None		24	PCM				14/04/2025 08:20:22	48000	WW2D_20250411_FX3_B_002	   														DNxHD LB (HD1080p)		14:31:30:20		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH			14:46:16:02		   5+00		3347+04	14:46:12:22					       3:05	25.00		15:07:13:01		BLINK_WW2 DECODED_MEDIA (W:)	00:35:42:06	13/04/2025 10:55:24			25.00			240806LAZFX3C0001.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0003.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_11\WW2D_20250411_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_001														23628	23627	0									1080p/25			None		24	PCM				13/04/2025 15:21:39	48000	WW2D_20250411_FX3_B_001	   														DNxHD LB (HD1080p)		09:43:53:17		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							1476+12							25.00		09:59:38:20		BLINK_WW2 DECODED_MEDIA (W:)	00:15:45:03	13/04/2025 13:21:16			25.00			240806LAZFX3C0003.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0005.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_11\WW2D_20250411_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_001														40716	40715	0									1080p/25			None		24	PCM				13/04/2025 15:21:39	48000	WW2D_20250411_FX3_B_001	   														DNxHD LB (HD1080p)		10:55:02:07		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							2544+12							25.00		11:22:10:23		BLINK_WW2 DECODED_MEDIA (W:)	00:27:08:16	13/04/2025 12:55:43			25.00			240806LAZFX3C0005.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0002.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_11\WW2D_20250411_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_001														44832	44831	0									1080p/25			None		24	PCM				13/04/2025 15:21:39	48000	WW2D_20250411_FX3_B_001	   														DNxHD LB (HD1080p)		09:13:25:13		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							2802+00							25.00		09:43:18:20		BLINK_WW2 DECODED_MEDIA (W:)	00:29:53:07	13/04/2025 12:26:12			25.00			240806LAZFX3C0002.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0001.new.03	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_11\WW2D_20250411_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_001														7248	7247	0									1080p/25			None		24	PCM				13/04/2025 15:21:39	48000	WW2D_20250411_FX3_B_001	   														DNxHD LB (HD1080p)		09:07:38:15		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							 453+00							25.00		09:12:28:13		BLINK_WW2 DECODED_MEDIA (W:)	00:04:49:23	13/04/2025 11:30:19			25.00			240806LAZFX3C0001.MP4	
OWEN FOR RESOLVE	240806LAZFX3C0004.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_11\WW2D_20250411_FX3_B_001\PRIVATE\M4ROOT\CLIP\	Other																																																																																																																																																													3840 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Pillarbox/Letterbox	1.000	16:9	4:2:2	[full range]		Progressive								WW2D_20250411_FX3_B_001														68028	68027	0									1080p/25			None		24	PCM				13/04/2025 15:21:39	48000	WW2D_20250411_FX3_B_001	   														DNxHD LB (HD1080p)		10:07:17:16		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							4251+12							25.00		10:52:38:19		BLINK_WW2 DECODED_MEDIA (W:)	00:45:21:03	13/04/2025 11:35:02			25.00			240806LAZFX3C0004.MP4	
OWEN FOR RESOLVE	B005_C003_0318KR_001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_03_18\WW2D_20250318_RED B_016\B005_0318P9\B005_0318P9.RDM\B005_C003_0318KR.RDC\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			RedWideGamut_Log3G10 to Rec709 (3D); Duotone (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	[video levels]	Stereo: A1A2	Progressive								WW2D_20250318_RED B_016														40982	40981	0									1080p/25			None		24	PCM				20/03/2025 10:00:57	48000	WW2D_20250318_RED B_016	   														DNxHD LB (HD1080p)		18:47:27:23		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							2561+06							25.00		19:14:47:05		BLINK_WW2 DECODED_MEDIA (W:)	00:27:19:07	19/03/2025 14:26:02			25.00			B005_C003_0318KR_001.mov	
OWEN FOR RESOLVE	B003_C001_03184B_001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_03_18\WW2D_20250318_RED B_014\B003_03183R\B003_03183R.RDM\B003_C001_03184B.RDC\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			RedWideGamut_Log3G10 to Rec709 (3D); Duotone (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	[video levels]	Stereo: A1A2	Progressive								WW2D_20250318_RED B_014														12468	12467	0									1080p/25			None		24	PCM				20/03/2025 10:00:57	48000	WW2D_20250318_RED B_014	   														DNxHD LB (HD1080p)		13:04:45:03		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							 779+04							25.00		13:13:03:21		BLINK_WW2 DECODED_MEDIA (W:)	00:08:18:18	19/03/2025 11:24:24			25.00			B003_C001_03184B_001.mov	
OWEN FOR RESOLVE	B002_C001_03189X_001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_03_18\WW2D_20250318_RED B_013\B002_03181M\B002_03181M.RDM\B002_C001_03189X.RDC\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			RedWideGamut_Log3G10 to Rec709 (3D); Duotone (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	[video levels]	Stereo: A1A2	Progressive								WW2D_20250318_RED B_013														13619	13618	0									1080p/25			None		24	PCM				20/03/2025 10:00:57	48000	WW2D_20250318_RED B_013	   														DNxHD LB (HD1080p)		12:05:30:23		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							 851+03							25.00		12:14:35:17		BLINK_WW2 DECODED_MEDIA (W:)	00:09:04:19	19/03/2025 14:26:02			25.00			B002_C001_03189X_001.mov	
OWEN FOR RESOLVE	B001_C008_0318EU_001.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_03_18\WW2D_20250318_RED B_012\B001_03181P\B001_03181P.RDM\B001_C008_0318EU.RDC\	Other																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			RedWideGamut_Log3G10 to Rec709 (3D); Duotone (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	[video levels]	Stereo: A1A2	Progressive								WW2D_20250318_RED B_012														12643	12642	0									1080p/25			None		24	PCM				20/03/2025 10:00:57	48000	WW2D_20250318_RED B_012	   														DNxHD LB (HD1080p)		11:53:57:01		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							 790+03							25.00		12:02:22:19		BLINK_WW2 DECODED_MEDIA (W:)	00:08:25:18	19/03/2025 14:26:02			25.00			B001_C008_0318EU_001.mov	
